wo_id,remark
EBA-2500453,1. DOOR BACKTAIL GATE  -  G/D/C/P
EBA-2500454,1. DINDING BAK LH - K/D/C/P
EBA-2500454,"3. BUMPER RR LH  WARNA, SILVER DAN HITAM -K/D/C/P"
EBA-2500454,2. LAMPU 1PC - BP/G
EBA-2500455,1. PINTU BAGASI			- K/D/C/P
EBA-2500455,3. GANTI SHIELD KIT FR RH		- BP/G
EBA-2500455,2. BUMPER RR			- K/D/C/P
EBA-2500456,6. DOOR RR LH			- K/D/C/P
EBA-2500456,1. BUMPER FR			- K/D/C/P
EBA-2500456,3. FENDER FR LH			- K/D/C/P
EBA-2500456,8. PANEL QUARTER RR LH		- K/D/C/P
EBA-2500456,11. GANTI SPION LH		- BP/G
EBA-2500456,5. DOOR FR LH			- K/D/C/P
EBA-2500456,2. KAP MESIN			- K/D/C/P
EBA-2500456,7. SIDE SILL LH			- K/D/C/P
EBA-2500456,10. GANTI HEAD LAMP LH		- BP/G
EBA-2500456,4. CAT COVER SPION LH		- K/D/C/P
EBA-2500456,9. CAT TUTUP TANGKI		- K/D/C/P
EBA-2500456,12. GANTI GARNISH SIDE SILL LH	- BP/G
EBA-2500457,2. COVER BUMPER FR  -  K/D/C/P
EBA-2500457,1. BUMPER FR  -  G/D/C/P
EBA-2500457,"3. SHIELD,FR WHEELHOUSE SPLASH,LH  -  BP/G"
EBA-2500458,2. PANEL QUARTER RR LH  -  K/D/C/P
EBA-2500458,1. BUMPER RR  -  K/D/C/P
EBA-2500459,1. PINTU BAGASI - G/D/C/P
EBA-2500459,2. GARNISH PINTU BAGASI - K/D/C/P
EBA-2500459,14. GARNISH TANGGA KIRI - K/D/C/P
EBA-2500459,"7. GANTI LATCH,TAILGATE - BP/G"
EBA-2500459,11. PANEL QUARTER RR LH - K/D/C/P
EBA-2500459,4. COVER BUMPER BELAKANG - K/D/C/P
EBA-2500459,16. TUTUP TANGKI - K/D/C/P
EBA-2500459,"9. GANTI LAMP ASSY,COMBINATION,RR RH - BP/G"
EBA-2500459,13. TANGGA KIRI - K/D/C/P
EBA-2500459,6. LANTAI BELAKANG - K/D/C/P
EBA-2500459,10. PANEL QUARTER RR RH - K/D/C/P
EBA-2500459,3. BUMPER BELAKANG - K/D/C/P
EBA-2500459,15. PINTU DEPAN KIRI - K/D/C/P
EBA-2500459,"8. GANTI LAMP ASSY,TAIL,RH	 - BP/G"
EBA-2500459,12. PINTU BELAKANG KIRI - K/DC/P
EBA-2500459,5. BONGKAR PASANG KACA PINTU BAGASI - B/P
EBA-2500460,2. COVER BUMPER FR  -  K/D/C/P
EBA-2500460,1. BUMPER FR  -  G/D/C/P
EBA-2500461,3. FENDER SHIELD FR RH (R)       		- K/D/C/P
EBA-2500461,12. SIDE MIRROR ASSY RH (R+/X)     		- BP/G
EBA-2500461,8. BUMPER FR (R+/X)         			- G/D/C/P
EBA-2500461,1. ENGINE HOOD (R) 			- K/D/C/P
EBA-2500461,"5. LAMP (HEAD LAMP, LAMP SIGN , ETC) 1 PC	- BP/G"
EBA-2500461,2. SUPPORT HEAD LAMP (R)                 		- K/D/C/P
EBA-2500461,11. DOOR FR RH (R+/X)                     		- G/D/C/P
EBA-2500461,7. GANTI GARNISH 2 PC LH       		- BP/G
EBA-2500461,4. WHEEL DISC (VELG) 1 PC     		- BP/G
EBA-2500461,13. SHIELD KIT 1 PC (R+/X)     		- BP/G
EBA-2500461,9. BRACKET BUMPER FR TENGAH (R+/X) 	- G/D/C/P
EBA-2500461,10. FENDER FR RH (R+/X)                   		- G/D/C/P
EBA-2500461,6. GANTI BRACKET BUMPER FR RH         	- BP/G
EBA-2500462,PESAN PART
EBA-2500464,1. BUMPER FR  -  K/D/C/P
EBA-2500464,6. COVER SPION LH  -  K/D/C/P
EBA-2500464,3. FENDER FR LH  -  K/D/C/P
EBA-2500464,"5. LAMP ASSY,FOG,FR LH  -  BP/G"
EBA-2500464,2. COVER BUMPER FR  -  K/D/C/P
EBA-2500464,"4. SHIELD,FR WHEELHOUSE SPLASH,LH  -  BP/G"
EBA-2500465,1. DOOR RR LH - K/D/C/P
EBA-2500465,6. LIST SILVER PINTU RR LH - K/D/C/P
EBA-2500465,3. GARNISH DOOR RR LH - K/D/C/P
EBA-2500465,5. GARNISH DOOR RR RH - BP/G
EBA-2500465,2. DOOR RR RH - K/D/C/P
EBA-2500465,7. LIST SILVER PINTU RR RH - K/D/C/P
EBA-2500465,4. GARNISH PANEL QTR RR LH - BP/G
EBA-2500466,3. DOOR RR RH  -  K/D/C/P
EBA-2500466,5. BUMPER RR   -  K/D/C/P
EBA-2500466,2. DOOR FR RH  -  K/D/C/P
EBA-2500466,"7. SHIELD,FR WHEELHOUSE SPLASH,RH  -  BP/G"
EBA-2500466,4. PANEL QUARTER RR RH  -  K/D/C/P
EBA-2500466,1. FENDER FR RH  -  K/D/C/P
EBA-2500466,6. COVER SPION RH  -  K/D/C/P
EBA-2500468,"16. GANTI COVER,DOOR MIRROR,OTR RH - BP/G"
EBA-2500468,9. FENDER FR LH - K/D/C/P
EBA-2500468,13. PILLAR UPR LH - K/D/C/P
EBA-2500468,"6. BUMPER BELAKANG	Ketok	1,198,000	1,198,000"
EBA-2500468,10. DOOR FR LH - K/D/C/P
EBA-2500468,3. DOOR FR RH - K/D/C/P
EBA-2500468,"15. GANTI MIRROR ASSY,DOOR,RH - BP/G"
EBA-2500468,8. KAP MESIN - K/D/C/P
EBA-2500468,12. PANEL QUARTER RR LH - K/D/C/P
EBA-2500468,5. PANEL QUARTER RR RH - K/D/C/P
